group_name,person
Conformable Decoders,Canan Dagdeviren
Conformable Decoders,Rebecca Grace Reid
Conformable Decoders,David Sadat
Conformable Decoders,Tao Sun
Conformable Decoders,Mohamed Tarek
Personal Fabrication,Neil A. Gershenfeld
Communications Futures Program,Andrew Lippman
Conformable Decoders,Zijun Wei
Conformable Decoders,Atieh Sadraei
Conformable Decoders,Irmandy Wicaksono
Communications Futures Program,Deborah Widener
Communications Futures Program,Richard D. Borovoy
Media and Networks,Andrew Lippman
Media and Networks,Deborah Widener
Health,Alex 'Sandy' Pentland
Space Enabled,Danielle Wood
Space Enabled,Ilham Ali
Space Enabled,Lizbeth Barrios de la Torre
Space Enabled,Matthew Daniels
Space Enabled,Neil Gaikwad
Connection Science and Engineering,Alex 'Sandy' Pentland
Space Exploration Initiative,Maggie Coblentz
Space Enabled,Amy Gouws
Space Enabled,Mujtaba Jebran
Space Enabled,Christine Joseph
Space Enabled,Miles Lifson
Space Enabled,Anisha Nakagawa
Space Exploration Initiative,Ariel Ekblaw
Space Exploration Initiative,Joi Ito
Space Exploration Initiative,Maria Zuber
Space Exploration Initiative,Joseph A. Paradiso
Space Exploration Initiative,Devora Najjar
Space Exploration Initiative,Avery Normandin
Space Exploration Initiative,Xin Liu
Space Exploration Initiative,Neo (Mostafa) Mohsenvand
Space Enabled,Xuenan Ni
Space Enabled,Andrea Porras
Space Enabled,William Sonntag
Space Enabled,Javier Stober
Space Enabled,Cate Waft
Space Enabled,Cynthia Zeng
Space Exploration Initiative,Margarita Mora
Space Exploration Initiative,Chin-Yi Cheng
Space Exploration Initiative,Travis Rich
Space Exploration Initiative,Hae Won Park
Space Exploration Initiative,Anne Liu
Space Exploration Initiative,Leland Melvin
Space Exploration Initiative,Nicole L'Huillier
Space Enabled,Minsu Jung
Space Exploration Initiative,Andrea Ling
Space Exploration Initiative,Levi Cai
Space Exploration Initiative,Sunanda Sharma
Space Exploration Initiative,Daniel Novy
Space Exploration Initiative,Bianca Datta
Space Exploration Initiative,Juliana Cherston
Space Exploration Initiative,Sands Fish
Space Exploration Initiative,Daniel Fitzgerald
Space Exploration Initiative,Jianghong Min
Space Exploration Initiative,Udayan Umapathi
Space Exploration Initiative,Eric Schilling
Space Exploration Initiative,Jeong Seuk Kang
Space Exploration Initiative,Jifei Ou
Space Exploration Initiative,Kristy Johnson
Media Fabrics,Hyun-yeul Lee
Viral Communications,Andrew Lippman
Space Exploration Initiative,Artem Dementyev
Space Exploration Initiative,Daniel Visan Levine
Space Exploration Initiative,Carson Smuts
Space Exploration Initiative,Jie Qi
Space Exploration Initiative,Chrisoula Kapelonis
Space Exploration Initiative,Ishaan Grover
Space Exploration Initiative,Nicholas Barry
Space Exploration Initiative,Amos Golan
Space Exploration Initiative,Pedro Reynolds-Cuellar
Space Exploration Initiative,Nikhita Singh
Space Exploration Initiative,Akshay Mohan
Space Exploration Initiative,Tal Achituv
Space Exploration Initiative,Valentina Sumini
Space Exploration Initiative,Andre Uhl
Space Exploration Initiative,Arielle Johnson
Space Exploration Initiative,Hildreth England
Media Fabrics,Glorianna Davenport
Viral Communications,Deborah Widener
Viral Communications,Travis Rich
Viral Communications,Chong Lee
Viral Communications,Hisham Bedri
Viral Communications,Leopold Mebazaa
Viral Communications,David Anderton
Viral Communications,William (Danny) Hillis
Viral Communications,Britney Johnson
Viral Communications,Agnes Cameron
Viral Communications,Kallirroi Retzepi
Viral Communications,David Oran
Ultimate Media,Andrew Lippman
Space Exploration Initiative,Pinar Yanardag
Space Exploration Initiative,Nan Zhao
Space Exploration Initiative,Sara Taylor
Space Exploration Initiative,Vik Parthiban
Space Exploration Initiative,Neil Gaikwad
Space Exploration Initiative,Helen Bailey
Viral Communications,Mike Hao Jiang
Viral Communications,Polychronis Ypodimatopoulos
Viral Communications,Thariq Shihipar
Viral Communications,Aditya Mohan
Viral Communications,Hisayuki Ohmata
Viral Communications,Lydia Smith
Viral Communications,James Spann
Viral Communications,Tomer Weller
Viral Communications,Yasmine (Jasmin) Rubinovitz
Viral Communications,Brian Tice
Viral Communications,Marie-Jose Montpetit
Viral Communications,Amir Lazarovich
Viral Communications,Vivian Diep
Viral Communications,Michael Naimark
Viral Communications,Kwan Hong Lee
Viral Communications,Andrew J. Sempere
Viral Communications,Dimitris Vyzovitis
Viral Communications,Constantine K. Christakos
Viral Communications,Fulu Li
Viral Communications,Durga P. Pandey
Viral Communications,James Cooley
Viral Communications,Tze Kheng Goh
Viral Communications,Savannah L Niles
Viral Communications,Nicholas Holden
Viral Communications,Shen Shen
Viral Communications,Sung Hyuck Lee
Center for Future Banking,Alex 'Sandy' Pentland
Center for Future Banking,Andrew Lippman
Center for Future Banking,Deb Roy
Center for Future Banking,Joseph A. Paradiso
Center for Future Banking,Pattie Maes
Center for Future Banking,Rosalind W. Picard
Center for Future Banking,Erik S. Ross
Center for Future Banking,Marshall Van Alystne
Future Storytelling,Cynthia Breazeal
Center for Terrestrial Sensing,Aymar Guespereau
Digital Life,Andrew Lippman
Future Storytelling,Kristin Hall
Future Storytelling,Ramesh Raskar
Future Storytelling,Richard Kearney
Future Storytelling,Richard Farrell
Center for Terrestrial Sensing,Hiroshi Ishii
Center for Terrestrial Sensing,Ramesh Raskar
Center for Terrestrial Sensing,Pattie Maes
Center for Terrestrial Sensing,Joseph A. Paradiso
Digital Life,Deborah Widener
Digital Life,Henry Holtzman
Digital Life,Marc B. Keller
Digital Life,Bruce M. Blumberg
Information Ecology,Henry Holtzman
CE 2.0,Henry Holtzman
quanta,Ike Chuang
Information Ecology,Lisa S. Lieberson
Information Ecology,Arlene Ducao
CE 2.0,Kristin Hall
NEXT,Andrew Lippman
Information Ecology,Bram van de Laar
NEXT,Barry L. Vercoe
NEXT,Cynthia Breazeal
NEXT,Hiroshi Ishii
NEXT,Tod Machover
NEXT,Rosalind W. Picard
Information Ecology,Daniel E Schultz
Information Ecology,David Zafrilla Gonzalez
NEXT,Chris Csikszentmihályi
Information Ecology,Evan Kutsko
Information Ecology,Jean Cha
Information Ecology,John Kestner
Information Ecology,Konosuke Watanabe
Information Ecology,Mariana Baca
Information Ecology,Matt Hirsch
Information Ecology,Taejun Park
X-Reality Working Group,Cynthia Breazeal
Physical Language Workshop,Luis Blackaller
X-Reality Working Group,Polly R. Guggenheim
X-Reality Working Group,Joseph A. Paradiso
Physical Language Workshop,Ishwinder Kaur
Physical Language Workshop,Megan L Galbraith
Physical Language Workshop,Amna Cavalic-Carreiro
Social Health Living Laboratory,Alex 'Sandy' Pentland
Social Health Living Laboratory,Frank Moss
Social Health Living Laboratory,Nicole N. Freedman
Interactive Cinema,Glorianna Davenport
Operations and Strategy,Marwan Cheguenni
Operations and Strategy,Barak Berkowitz
Operations and Strategy,Liz Rietz
Computing Culture,Nicole N. Freedman
Computing Culture,Annina Rust
Computing Culture,Benjamin C. Hill
Computing Culture,Chris Csikszentmihályi
