group,active,topics
space-exploration,True,"#robotics,#design,#virtual reality,#agriculture,#architecture,#art,#augmented reality,#bioengineering,#communications,#environment,#food,#genetics,#hacking,#human-machine interaction,#manufacturing,#music,#networks,#neurobiology,#synthetic biology,#systems,#sensors,#imaging,#3d printing ,#ethics,#computer science,#space,#archives,#zero gravity,#physiology,#human augmentation,#robotics,#virtual reality,#art,#space,#zero gravity,#space,#zero gravity,#agriculture,#space,#architecture,#bioengineering,#genetics,#design,#augmented reality,#environment"
communications-futures-program,True,"#robotics,#architecture,#art,#artificial intelligence,#banking and finance,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#energy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#storytelling,#transportation,#wearable computing"
media-fabrics,False,"#robotics,#architecture,#art,#artificial intelligence,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#storytelling,#wearable computing"
personal-fabrication,False,
cc,False,
ultimate-media,True,"#civic media,#storytelling,#data,#networks,#interfaces,#communications,#networks,#consumer electronics,#holography,#agriculture,#communications,#networks,#communications,#social media,#human-computer interaction,#cognition,#sensors"
a_hashmis-untitled-sig,False,
social-machines,True,"#robotics,#design,#social networks,#computer vision,#architecture,#artificial intelligence,#civic media,#cognition,#communications,#consumer electronics,#data,#developing countries,#economy,#entertainment,#food,#government,#health,#human-machine interaction,#kids,#learning,#music,#networks,#neurobiology,#perception,#politics,#social media,#storytelling,#urban planning,#wearable computing,#networking,#social science,#machine learning,#social robotics,#language learning,#computer science,#mapping,#biomechanics,#archives,#visualization,#cognitive science,#biotechnology,#history,#bionics,#randomized experiment,#data,#networks,#politics,#computer vision,#artificial intelligence,#entertainment,#computer vision,#artificial intelligence,#data,#learning"
health,False,
synthetic-characters,False,"#robotics,#architecture,#art,#artificial intelligence,#bioengineering,#cognition,#consumer electronics,#developing countries,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#wearable computing,#archives,#history,#kids,#archives,#history"
erationality,False,"#robotics,#architecture,#art,#artificial intelligence,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#wearable computing,#behavioral science"
media-and-networks,False,"#art,#consumer electronics,#entertainment,#networks,#politics,#storytelling"
gesture-and-narrative-language,False,"#architecture,#cognition,#human-machine interaction,#learning,#storytelling"
connection-science-and-engineering,False,
viral-communications,True,"#design,#human-computer interaction,#artificial intelligence,#augmented reality,#bioengineering,#communications,#consumer electronics,#crowdsourcing,#cryptocurrency,#data,#economy,#entertainment,#extended intelligence,#government,#health,#human-machine interaction,#networks,#open source,#politics,#privacy,#social media,#systems,#wearable computing,#sensors,#interfaces,#social science,#machine learning,#behavioral science,#affective computing,#blockchain,#archives,#history,#wellbeing,#civic media,#storytelling,#augmented reality,#communications,#networks,#data,#networks,#interfaces,#blockchain,#communications,#networks"
design-ecology,False,"#robotics,#architecture,#art,#artificial intelligence,#banking and finance,#bioengineering,#cognition,#consumer electronics,#developing countries,#energy,#entertainment,#human-machine interaction,#kids,#learning,#music,#networks,#privacy,#wearable computing"
high-low-tech,False,"#robotics,#architecture,#art,#artificial intelligence,#banking and finance,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#energy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#storytelling,#transportation,#wearable computing"
digital-intuition,False,"#robotics,#architecture,#art,#artificial intelligence,#banking and finance,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#energy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#storytelling,#transportation,#wearable computing"
critical-computing,False,"#art,#consumer electronics,#entertainment,#networks,#politics,#storytelling"
machine-understanding,False,
development,True,
gray-matters,False,
visible-language-workshop,False,"#architecture,#art,#artificial intelligence,#consumer electronics,#entertainment,#human-machine interaction,#learning,#networks,#politics,#storytelling"
ipid,False,
edevelopment,False,
broadercasting,False,
context-aware-computing,False,"#robotics,#architecture,#art,#artificial intelligence,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#storytelling,#wearable computing"
interactive-cinema,False,"#architecture,#art,#consumer electronics,#entertainment,#music,#networks,#storytelling,#transportation"
nanoscale-sensing,False,"#robotics,#architecture,#art,#artificial intelligence,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#wearable computing"
architecture-machine-group,False,"#architecture,#art,#artificial intelligence,#cognition,#consumer electronics,#entertainment,#human-machine interaction,#learning,#storytelling,#transportation"
information-ecology,False,"#robotics,#human-computer interaction,#architecture,#art,#artificial intelligence,#banking and finance,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#energy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#storytelling,#transportation,#wearable computing,#affective computing,#computer science"
next,False,"#robotics,#art,#artificial intelligence,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#wearable computing"
counter-intelligence,False,"#architecture,#consumer electronics,#economy,#entertainment,#human-machine interaction,#politics"
e-markets,False,"#robotics,#human-computer interaction,#cognition,#consumer electronics,#developing countries,#economy,#entertainment,#kids,#learning"
center-for-terrestrial-sensing,False,
center-for-future-banking,False,"#robotics,#architecture,#art,#artificial intelligence,#banking and finance,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#energy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#neurobiology,#perception,#pharmaceuticals,#politics,#privacy,#storytelling,#transportation,#wearable computing,#sensors,#interfaces,#networking,#social science"
ce-21,False,
future-storytelling-2,False,
quanta,False,"#robotics,#architecture,#art,#artificial intelligence,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#wearable computing,#computer science,#engineering"
consumer-electronics-laboratory,False,"#robotics,#architecture,#art,#artificial intelligence,#banking and finance,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#energy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#storytelling,#transportation,#wearable computing"
ultimate-media-2,False,
social-health-living-laboratory,False,
future-of-learning-2,False,
physical-language-workshop,False,"#robotics,#architecture,#art,#artificial intelligence,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#wearable computing"
x-reality-working-group,False,
commonsense-computing,False,"#robotics,#art,#artificial intelligence,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#entertainment,#human-machine interaction,#kids,#learning,#music"
autism-communication-technology-initiative,True,
digital-life,True,
ce-20,True,"#robotics,#architecture,#art,#artificial intelligence,#banking and finance,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#energy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#storytelling,#transportation,#wearable computing,#agriculture"
connection-science,True,"#artificial intelligence,#data"
