project_title,person,position
Black Rock Atlas,Niccolo Pescetelli,Postdoctoral Associate
Black Rock Atlas,Matthew Groh,Postdoctoral Associate
Black Rock Atlas,Iyad Rahwan,Postdoctoral Associate
Black Rock Atlas,Manuel Cebrian,Postdoctoral Associate
Black Rock Atlas,Esteban Moro Egido,Postdoctoral Associate
Black Rock Atlas,Nick Obradovich,Postdoctoral Associate
Theme   |   Mobility On-Demand,Abhishek Agarwal,Research Assistant
Mnemo,Neo (Mostafa) Mohsenvand,Research Assistant
Theme   |   Mobility On-Demand,Kent Larson,Research Assistant
Theme   |   Mobility On-Demand,Michael Lin,Research Assistant
Theme   |   Mobility On-Demand,Phil Tinn,Research Assistant
Theme   |   Mobility On-Demand,Jerry Wei Hua Yao,Research Assistant
Theme   |   Mobility On-Demand,Lucas Cassiano Pereira Silva,Research Assistant
Theme   |   Mobility On-Demand,Yago Lizaribar Carrillo,Research Assistant
Theme   |   Mobility On-Demand,Chang-Qi Zhang,Research Assistant
Theme   |   Mobility On-Demand,Tai-Yu Chen,Research Assistant
Theme   |   Mobility On-Demand,Yi-Cheng Jiang,Research Assistant
Identifying the Human Impacts of Climate Change,Nick Obradovich,Research Scientist
City Science Network,Kent Larson,Principal Research Scientist
OPAL 4 Health,Jose Balsa Barreiro,Postdoctoral Fellow
Thinking Cap,Nataliya Kos'myna,Postdoctoral Fellow
Machine Learning and Automated Segmentation of Oral Diseases Using Biomarker Images,Aman Rana,Senior Research Support Associate
Identifying the Human Impacts of Climate Change,Manuel Cebrian,Research Scientist
Identifying the Human Impacts of Climate Change,Pinar Yanardag,Research Scientist
Identifying the Human Impacts of Climate Change,Esteban Moro Egido,Research Scientist
Identifying the Human Impacts of Climate Change,Bjarke Felbo,Research Scientist
Identifying the Human Impacts of Climate Change,Iyad Rahwan,Research Scientist
Measuring and Reducing Social Segregation in Cities,Xiaowen Dong,Research Affiliate
City Science Network,Ronan Doorley,Principal Research Scientist
City Science Network,Phil Tinn,Principal Research Scientist
City Science Network,Yasushi Sakai,Principal Research Scientist
City Science Network,Arnaud Grignard,Principal Research Scientist
City Science Network,Luis Alberto Alonso Pastor,Principal Research Scientist
City Science Network,Margaret Church,Principal Research Scientist
City Science Network,Yan Zhang,Principal Research Scientist
City Science Network,Ariel Noyman,Principal Research Scientist
City Science Network,Michael Lin,Principal Research Scientist
OPAL 4 Health,Abdulrahman Alotaibi,Postdoctoral Fellow
OPAL 4 Health,Eduardo Castello Ferrer,Postdoctoral Fellow
OPAL 4 Health,Shada Alsalamah,Postdoctoral Fellow
OPAL 4 Health,Alex 'Sandy' Pentland,Postdoctoral Fellow
Thinking Cap,Pattie Maes,Postdoctoral Fellow
Machine Learning and Automated Segmentation of Oral Diseases Using Biomarker Images,Gregory Yauney,Senior Research Support Associate
Machine Learning and Automated Segmentation of Oral Diseases Using Biomarker Images,Otkrist Gupta,Senior Research Support Associate
Machine Learning and Automated Segmentation of Oral Diseases Using Biomarker Images,Pratik Shah,Senior Research Support Associate
Funnel Vision,Emily Salvador,Research Assistant
Civic Entertainment,Anushka Shah,"Researcher/Community Manager, Media Cloud"
Measuring and Reducing Social Segregation in Cities,Dan Calacci,Research Affiliate
Measuring and Reducing Social Segregation in Cities,Esteban Moro Egido,Research Affiliate
City Science Network,Mary Heckbert,Principal Research Scientist
Near-Infrared Imaging for Detecting Dental Caries,Keith Angelino,Technical Associate
Machine Learning for Combined Classification of Fluorescent Biomarkers and Expert Annotations Using White Light Images,Gregory Yauney,Technical Associate
Funnel Vision,Ermal Dreshaj,Research Assistant
Civic Entertainment,Ethan Zuckerman,"Researcher/Community Manager, Media Cloud"
Deep Angel: The AI behind the aesthetics of absence,Abhimanyu Dubey,Research Assistant
Technology-Enabled Mobile Phone Screenings Augment Routine Primary Care,Gregory Yauney,Technical Associate
Self-learning AI model learns from patient data to design novel clinical trials,Pratik Shah,Research Scientist
Near-Infrared Imaging for Detecting Dental Caries,Pratik Shah,Technical Associate
Machine Learning for Combined Classification of Fluorescent Biomarkers and Expert Annotations Using White Light Images,Keith Angelino,Technical Associate
Machine Learning for Combined Classification of Fluorescent Biomarkers and Expert Annotations Using White Light Images,Pratik Shah,Technical Associate
Deep Angel: The AI behind the aesthetics of absence,Niccolo Pescetelli,Research Assistant
Technology-Enabled Mobile Phone Screenings Augment Routine Primary Care,Otkrist Gupta,Technical Associate
Technology-Enabled Mobile Phone Screenings Augment Routine Primary Care,Mrinal Mohit,Technical Associate
Technology-Enabled Mobile Phone Screenings Augment Routine Primary Care,Pratik Shah,Technical Associate
Self-learning AI model learns from patient data to design novel clinical trials,Gregory Yauney,Research Scientist
Deep Angel: The AI behind the aesthetics of absence,Manuel Cebrian,Research Assistant
Deep Angel: The AI behind the aesthetics of absence,Ziv Epstein ,Research Assistant
Deep Angel: The AI behind the aesthetics of absence,Matthew Groh,Research Assistant
Deep Angel: The AI behind the aesthetics of absence,Nick Obradovich,Research Assistant
Deep Angel: The AI behind the aesthetics of absence,Iyad Rahwan,Research Assistant
Theme | CityScope,Ariel Noyman,Research Assistant
Theme | CityScope,Kent Larson,Research Assistant
Theme | CityScope,Arnaud Grignard,Research Assistant
Theme | CityScope,Yasushi Sakai,Research Assistant
